DB00555,D102100
DB00949,D102100
DB01068,D102100
DB00190,D102300
DB00193,D102300
DB00230,D102300
DB00268,D102300
DB00413,D102300
DB00564,D102300
DB00575,D102300
DB00996,D102300
DB01068,D102300
DB01200,D102300
DB01235,D102300
DB05271,D102300
DB00282,D102400
DB00169,D102500
DB00282,D102500
DB00286,D102500
DB00399,D102500
DB00481,D102500
DB00603,D102500
DB00630,D102500
DB00710,D102500
DB00717,D102500
DB00783,D102500
DB00884,D102500
DB00977,D102500
DB00999,D102500
DB00712,D103100
DB00635,D103230
DB00687,D103230
DB00860,D103230
DB00331,D103285
DB00635,D103285
DB00834,D103285
DB01046,D103285
DB00215,D103780
DB00475,D103780
DB00575,D103780
DB00659,D103780
DB00704,D103780
DB00822,D103780
DB00904,D103780
DB00252,D104130
DB00313,D104130
DB00350,D104130
DB00421,D104130
DB00490,D104130
DB00532,D104130
DB00564,D104130
DB00620,D104130
DB00795,D104130
DB01216,D104130
DB00163,D104300
DB00313,D104300
DB00382,D104300
DB00674,D104300
DB00843,D104300
DB00989,D104300
DB01037,D104300
DB01043,D104300
DB00163,D104310
DB00382,D104310
DB00674,D104310
DB00843,D104310
DB00989,D104310
DB01037,D104310
DB01043,D104310
DB00984,D106100
DB01406,D106100
DB06196,D106100
DB06718,D106100
DB08804,D106100
DB00179,D106400
DB00544,D106400
DB00586,D106400
DB00724,D106400
DB00936,D106400
DB00992,D106400
DB00682,D107320
DB00945,D107320
DB00747,D107550
DB00745,D107650
DB00351,D109100
DB00470,D109100
DB00635,D109100
DB00959,D109100
DB01072,D109100
DB01157,D109100
DB01232,D109100
DB01216,D109200
DB00213,D109350
DB00338,D109350
DB00364,D109350
DB00448,D109350
DB00501,D109350
DB00585,D109350
DB00604,D109350
DB00736,D109350
DB00863,D109350
DB00883,D109350
DB00927,D109350
DB01019,D109350
DB01020,D109350
DB01129,D109350
DB01233,D109350
DB00242,D109543
DB00262,D109543
DB00290,D109543
DB00444,D109543
DB00541,D109543
DB00563,D109543
DB00987,D109543
DB01033,D109543
DB01073,D109543
DB01181,D109543
DB01204,D109543
DB00305,D109800
DB00385,D109800
DB00515,D109800
DB00563,D109800
DB00958,D109800
DB00997,D109800
DB00264,D110100
DB00335,D110100
DB00571,D110100
DB00598,D110100
DB00612,D110100
DB01203,D110100
DB04861,D110100
DB00434,D113610
DB00536,D113610
DB00755,D113800
DB00014,D114480
DB00282,D114480
DB00286,D114480
DB00351,D114480
DB00441,D114480
DB00445,D114480
DB00481,D114480
DB00544,D114480
DB00563,D114480
DB00570,D114480
DB00624,D114480
DB00675,D114480
DB00783,D114480
DB00947,D114480
DB00990,D114480
DB00997,D114480
DB01006,D114480
DB01101,D114480
DB01185,D114480
DB01217,D114480
DB01229,D114480
DB01248,D114480
DB01259,D114480
DB00544,D114500
DB00563,D114500
DB00650,D114500
DB00762,D114500
DB01101,D114500
DB00398,D114550
DB00257,D114580
DB00620,D114580
DB01099,D114580
DB01110,D114580
DB01167,D114580
DB01188,D114580
DB00204,D115000
DB00252,D115000
DB00280,D115000
DB00379,D115000
DB00571,D115000
DB00661,D115000
DB00908,D115000
DB01035,D115000
DB01064,D115000
DB01113,D115000
DB01118,D115000
DB01228,D115000
DB00661,D115195
DB00162,D115300
DB00963,D115645
DB00915,D119500
DB01174,D121200
DB00794,D121201
DB01174,D121201
DB00755,D124200
DB00381,D125310
DB00393,D125310
DB00682,D125310
DB00722,D125310
DB00758,D125310
DB00790,D125310
DB00806,D125310
DB00945,D125310
DB01219,D125310
DB00163,D125320
DB00190,D125320
DB00245,D125320
DB00268,D125320
DB00313,D125320
DB00382,D125320
DB00387,D125320
DB00413,D125320
DB00674,D125320
DB00747,D125320
DB00810,D125320
DB00843,D125320
DB00989,D125320
DB01043,D125320
DB00443,D125600
DB00635,D125600
DB00741,D125600
DB00936,D125600
DB01013,D125600
DB01188,D125600
DB01234,D125600
DB00035,D125700
DB00999,D125700
DB00222,D125850
DB00284,D125850
DB00331,D125850
DB00412,D125850
DB00414,D125850
DB00491,D125850
DB00672,D125850
DB00731,D125850
DB00839,D125850
DB00912,D125850
DB01016,D125850
DB01029,D125850
DB01067,D125850
DB01124,D125850
DB01132,D125850
DB01261,D125850
DB00222,D125851
DB00284,D125851
DB00331,D125851
DB00412,D125851
DB00414,D125851
DB00491,D125851
DB00672,D125851
DB00731,D125851
DB00839,D125851
DB00912,D125851
DB01016,D125851
DB01029,D125851
DB01067,D125851
DB01124,D125851
DB01132,D125851
DB01261,D125851
DB00104,D125852
DB08907,D125852
DB00222,D125853
DB00284,D125853
DB00331,D125853
DB00412,D125853
DB00414,D125853
DB00491,D125853
DB00672,D125853
DB00731,D125853
DB00839,D125853
DB00912,D125853
DB01016,D125853
DB01029,D125853
DB01067,D125853
DB01120,D125853
DB01124,D125853
DB01132,D125853
DB01261,D125853
DB00181,D126200
DB00242,D126200
DB00635,D126200
DB00745,D126200
DB00860,D126200
DB00915,D126200
DB00993,D126200
DB01204,D126200
DB01219,D126200
DB00653,D127350
DB00502,D127750
DB00181,D128101
DB00564,D128101
DB00014,D131200
DB00304,D131200
DB00367,D131200
DB00603,D131200
DB00717,D131200
DB00957,D131200
DB00977,D131200
DB01406,D131200
DB00215,D131300
DB00285,D131300
DB00472,D131300
DB00715,D131300
DB01104,D131300
DB00619,D131440
DB00794,D132090
DB00794,D132100
DB00794,D132300
DB00515,D133239
DB00563,D133239
DB00958,D133239
DB00328,D133600
DB00443,D133600
DB00620,D133600
DB00635,D133600
